,key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
17610152,2014-08-28 17:47:00.000000188,16.0,2014-08-28 17:47:00 UTC,-73.925023,40.744085,-73.97308199999999,40.761247,5
48725865,2014-10-12 07:04:00.0000002,24.5,2014-10-12 07:04:00 UTC,-73.96144699999999,40.693965000000006,-73.871195,40.774297,5
55085966,2014-02-18 14:26:00.00000070,10.5,2014-02-18 14:26:00 UTC,-73.98002199999999,40.74599,-74.00343199999999,40.759667,1
38755863,2014-01-21 06:55:00.00000094,5.0,2014-01-21 06:55:00 UTC,-73.957802,40.776371999999995,-73.957422,40.78287,1
19277743,2014-06-04 06:49:00.000000102,39.5,2014-06-04 06:49:00 UTC,-73.78808000000001,40.642187,-73.865042,40.725997,4
38703737,2014-02-13 17:57:00.000000102,29.0,2014-02-13 17:57:00 UTC,-73.9926,40.753172,-73.908508,40.816192,1
16649523,2014-04-02 14:58:32.0000002,9.0,2014-04-02 14:58:32 UTC,-73.970164,40.765015999999996,-73.962801,40.77478,1
37192633,2014-01-16 14:58:09.0000006,17.0,2014-01-16 14:58:09 UTC,-73.9939,40.751714,-73.958575,40.76039,1
38092793,2014-11-13 20:12:25.0000005,11.0,2014-11-13 20:12:25 UTC,-73.958903,40.815239,-73.980862,40.78261,1
44856422,2014-08-22 14:58:01.0000001,13.0,2014-08-22 14:58:01 UTC,-73.993619,40.749808,-73.992512,40.756546,2
21993993,2014-05-05 19:27:00.00000034,6.0,2014-05-05 19:27:00 UTC,0.0,0.0,0.0,0.0,1
50958489,2014-04-15 09:19:00.000000199,12.0,2014-04-15 09:19:00 UTC,-74.010142,40.719716999999996,-74.013625,40.702315000000006,1
46652271,2014-04-27 13:02:13.0000004,4.0,2014-04-27 13:02:13 UTC,-73.950582,40.786452000000004,-73.9575,40.776686,1
29350780,2014-02-19 18:02:00.00000011,9.0,2014-02-19 18:02:00 UTC,-73.95828,40.7689,-73.97351,40.782907,5
26536581,2014-06-15 15:25:59.0000001,10.5,2014-06-15 15:25:59 UTC,-73.98860400000001,40.778445,-73.99493100000001,40.749953999999995,1
26009783,2014-11-10 05:48:48.0000001,7.5,2014-11-10 05:48:48 UTC,-73.97513199999999,40.73302,-73.977113,40.752058,1
42367206,2014-09-23 00:15:52.0000004,15.0,2014-09-23 00:15:52 UTC,-73.994126,40.750917,-73.949428,40.781335999999996,1
33481580,2014-04-21 20:40:00.00000077,7.5,2014-04-21 20:40:00 UTC,-73.976543,40.788207,-73.954575,40.777842,1
5154278,2014-06-24 09:52:00.00000059,6.5,2014-06-24 09:52:00 UTC,-74.01512199999999,40.715795,-74.008495,40.72814,5
54642873,2014-01-22 21:01:18.0000004,4.5,2014-01-22 21:01:18 UTC,-73.992937,40.75778,-73.992937,40.75778,1
51756123,2014-04-19 02:10:00.000000112,9.0,2014-04-19 02:10:00 UTC,-73.997222,40.763667,-74.01061700000001,40.730022,3
31785067,2014-03-25 20:14:00.0000003,7.5,2014-03-25 20:14:00 UTC,-73.97287,40.76444,-73.98841999999999,40.76914,1
49202586,2014-05-28 01:00:00.00000073,14.5,2014-05-28 01:00:00 UTC,-74.005477,40.738575,-73.97272199999999,40.756735,5
51449542,2014-01-21 14:58:00.00000038,29.5,2014-01-21 14:58:00 UTC,-73.99119,40.750195,-74.006843,40.705932000000004,3
31509903,2014-03-19 10:32:00.00000058,6.0,2014-03-19 10:32:00 UTC,-73.993362,40.733317,-73.995473,40.740992,1
12636677,2014-04-13 12:25:00.000000154,24.0,2014-04-13 12:25:00 UTC,-73.97833,40.76347,-73.96477,40.80675,1
42307589,2014-08-20 22:24:00.00000086,7.0,2014-08-20 22:24:00 UTC,-73.97203,40.75652,-73.98601,40.75225,2
18285176,2014-10-04 19:10:47.0000002,5.5,2014-10-04 19:10:47 UTC,-73.96889499999999,40.764276,-73.97819100000001,40.759646000000004,2
43519750,2014-09-18 11:13:28.0000003,12.0,2014-09-18 11:13:28 UTC,-73.959571,40.76283,-73.975622,40.760601,1
2787996,2014-09-13 01:41:42.0000005,5.0,2014-09-13 01:41:42 UTC,-73.988312,40.724045000000004,-73.981047,40.73623,1
49584701,2014-06-18 00:15:00.00000040,17.0,2014-06-18 00:15:00 UTC,-73.984753,40.737152,-73.944553,40.700412,2
29799869,2014-02-02 10:39:22.0000003,5.5,2014-02-02 10:39:22 UTC,-73.982129,40.772748,-73.977427,40.784339,1
8758303,2014-11-03 12:57:37.0000001,7.5,2014-11-03 12:57:37 UTC,-73.98042099999999,40.720552000000005,-73.984562,40.729687,1
11437730,2014-11-02 14:49:00.00000097,14.0,2014-11-02 14:49:00 UTC,-73.993047,40.742667,-73.972472,40.764817,1
5766737,2014-09-03 10:37:13.0000001,12.5,2014-09-03 10:37:13 UTC,-73.962456,40.77,-73.98790699999999,40.741126,1
41979324,2014-03-05 20:51:49.0000004,19.5,2014-03-05 20:51:49 UTC,-73.992405,40.724391,-73.970332,40.783869,1
24673379,2014-12-08 17:29:24.0000001,3.5,2014-12-08 17:29:24 UTC,-73.953837,40.775171,-73.95640300000001,40.771586,1
8928994,2014-03-10 23:15:10.0000002,15.0,2014-03-10 23:15:10 UTC,-74.006209,40.714462,-73.990402,40.665240000000004,1
11060880,2014-03-20 23:30:12.0000002,6.5,2014-03-20 23:30:12 UTC,-74.004083,40.742094,-73.985253,40.735788,1
54945201,2014-01-25 17:29:03.0000002,4.5,2014-01-25 17:29:03 UTC,-73.956615,40.767603,-73.965367,40.769688,2
51344425,2014-08-04 17:58:00.00000093,6.5,2014-08-04 17:58:00 UTC,-73.987447,40.733067,-74.002172,40.740632,1
17951491,2014-03-24 12:28:00.0000004,15.5,2014-03-24 12:28:00 UTC,-73.973638,40.757932000000004,-73.997785,40.724342,1
24900646,2014-10-04 22:52:00.000000217,12.5,2014-10-04 22:52:00 UTC,-73.99691999999999,40.72064,-73.98808000000001,40.74819,1
20431254,2014-03-06 06:59:22.0000003,3.5,2014-03-06 06:59:22 UTC,-73.97251999999999,40.753437,-73.968294,40.760745,1
11976813,2014-04-18 23:21:00.00000073,4.0,2014-04-18 23:21:00 UTC,-73.979315,40.776897,-73.986242,40.780575,1
39208766,2014-10-06 22:55:00.000000154,8.0,2014-10-06 22:55:00 UTC,-74.015043,40.714613,-74.00794300000001,40.705562,1
31566418,2014-07-06 17:20:00.00000029,10.5,2014-07-06 17:20:00 UTC,-73.973467,40.757442,-73.99736700000001,40.724577000000004,2
44430762,2014-06-14 12:38:00.00000066,13.5,2014-06-14 12:38:00 UTC,-73.99364,40.7525,-73.98147,40.7558,1
39715309,2014-08-12 17:20:00.000000142,3.0,2014-08-12 17:20:00 UTC,-73.98825699999999,40.737727,-73.986637,40.739952,5
7212558,2014-07-17 14:36:00.000000205,6.5,2014-07-17 14:36:00 UTC,-73.99152,40.729727000000004,-74.006927,40.729434999999995,1
30018399,2014-05-16 01:50:17.0000001,19.0,2014-05-16 01:50:17 UTC,-73.973711,40.759206,-73.95150600000001,40.8228,1
5672660,2014-09-27 06:29:52.0000001,10.0,2014-09-27 06:29:52 UTC,-73.951825,40.781593,-73.98133,40.763690000000004,1
40938363,2014-06-27 14:12:49.0000002,57.33,2014-06-27 14:12:49 UTC,-73.776736,40.645518,-73.994633,40.719009,1
32244607,2014-10-09 01:06:10.0000001,12.5,2014-10-09 01:06:10 UTC,-73.98683100000001,40.747747,-73.99140899999999,40.715866999999996,2
24245545,2014-12-21 01:58:02.0000002,8.5,2014-12-21 01:58:02 UTC,-73.996418,40.732352,-73.977412,40.746833,2
33779698,2014-03-22 12:22:00.00000039,19.0,2014-03-22 12:22:00 UTC,-73.982608,40.772337,-73.95504,40.745816999999995,1
12949450,2014-01-02 21:04:25.0000002,7.0,2014-01-02 21:04:25 UTC,-73.99510500000001,40.732125,-74.008402,40.738292,1
11925730,2014-06-06 10:48:19.0000002,5.5,2014-06-06 10:48:19 UTC,-73.973294,40.755027,-73.979022,40.747021000000004,1
14855774,2014-06-21 09:58:08.0000005,5.5,2014-06-21 09:58:08 UTC,-73.98577399999999,40.762882,-73.979744,40.775180999999996,1
4272998,2014-02-06 19:25:00.00000020,8.5,2014-02-06 19:25:00 UTC,-74.002652,40.733857,-73.993335,40.72245,1
43780847,2014-03-05 01:58:00.00000050,5.0,2014-03-05 01:58:00 UTC,-74.004237,40.751967,-74.005022,40.741479999999996,1
35575575,2014-06-30 07:13:23.0000001,8.5,2014-06-30 07:13:23 UTC,-73.954566,40.719553000000005,-73.94927,40.720892,1
37758989,2014-01-10 06:20:35.0000003,10.0,2014-01-10 06:20:35 UTC,-74.00044799999999,40.747704,-73.965471,40.759391,1
2511529,2014-12-24 05:54:45.0000001,8.0,2014-12-24 05:54:45 UTC,-73.91853,40.74333,-73.946696,40.749438,1
31052771,2014-05-30 16:05:00.000000123,17.0,2014-05-30 16:05:00 UTC,-74.013402,40.714062,-73.988897,40.758532,3
50524085,2014-09-23 07:48:01.0000001,11.0,2014-09-23 07:48:01 UTC,-73.989439,40.776503000000005,-73.966752,40.769882,1
3070805,2014-07-02 04:19:49.0000001,20.0,2014-07-02 04:19:49 UTC,-73.988212,40.7646,-73.940585,40.84888,2
13151858,2014-08-12 21:15:00.00000033,16.5,2014-08-12 21:15:00 UTC,-73.978385,40.762941999999995,-73.987015,40.720909999999996,6
40185071,2014-10-20 20:38:49.0000001,5.5,2014-10-20 20:38:49 UTC,-73.968822,40.75764,-73.979761,40.757928,1
9626689,2014-05-06 15:56:00.000000129,8.5,2014-05-06 15:56:00 UTC,-73.97256999999999,40.759172,-73.95564300000001,40.76603,2
30396991,2014-11-07 19:54:27.0000002,8.5,2014-11-07 19:54:27 UTC,-73.969177,40.757551,-73.97776400000001,40.763169,1
